"# 文本key","文本value"
"string","string"
"id","text"
"Localization_Time","2025.4.21"
"Common_Item","물품"
"Common_Skill","절학"
"Common_NeiGong","내공"
"Common_Equip","장비"
"Common_Back","돌아가기"
"Common_Return","상위로 돌아가기"
"Common_SkillLevelUp","절학 진입"
"Common_Unequip","내리기"
"Common_Confirm","확인"
"Common_Extra","추가"
"Common_Value","가치"
"Common_Extra_Desc","「파괴불가」"
"Common_Continue","계속"
"Common_Add","증가"
"Common_Close","닫기"
"Common_Delete","삭제"
"Common_Delete_All","모두 삭제"
"Common_Stop_Talk","대화 종료"
"Common_CraftItem","물품 제작"
"Common_Crafting","제작 중..."
"Common_Reduce","감소"
"Common_Cancel","취소"
"Common_Finish","완료"
"Common_Send","선물"
"Common_Use","사용"
"Common_Place","배치"
"Common_Feed","먹이기"
"Common_Cultivate","육성,"
"Common_Player_Name","나"
"Common_Player_Mine","나의"
"Common_You","너"
"Common_Your_Sect","너의 문파"
"common_mine_teacher","나의 스승"
"Common_Empty","빈"
"Common_Price","「가치」"
"Common_Price_1","가치"
"Common_But","하지만"
"Common_Or","또는"
"Common_He","그"
"Common_She","그녀"
"Common_It","그것"
"Common_Life_Title","생명력"
"Common_Time_Hour","때"
"Common_Time_Day","일"
"Common_Time_Per_Day","매 {0} 일"
"Common_Time_NoLimit","무제한"
"Common_Select_Item","물품 이동 수량: {0}"
"Common_has_learn","「이미 습득」\\n<TDName>를</> <TDNum>[1=11]</> <TDName>열어 능력 화면을 확인하세요</>"
"Common_has_learn_gamepad","「이미 습득」\\n<TDName>열어 능력 화면을 확인하세요</>"
"Common_has_learn_for_item","「이미 습득」"
"Common_has_learn_for_item_1","「{0}이미 습득」"
"Common_Click","클릭"
"Common_LightRain","부슬비"
"Common_Rain","비"
"Common_RainStorm","폭우"
"Common_LightSnow","소설"
"Common_Snow","눈"
"Common_Blizzard","폭설"
"Common_ClearSkies","맑음"
"Common_Cloudy","맑은 날"
"Common_Overcast","흐림"
"Common_Foggy","짙은 안개"
"Common_SandStorm","황사"
"Common_PoisonFog","독장"
"Common_CreatPlayer","캐릭터 생성"
"Common_Feeling","심경"
"Common_Max_Feeling","최대 심경"
"Common_Merit","공덕"
"Common_Any_Sift","임의 자원"
"Common_Exit_Combat","항복"
"Common_Argument","말싸움"
"Common_Exit_Mini_Game","포기"
"Common_Abandon","포기,"
"Common_Use_Item","도구 사용"
"Common_Move_Item","도구 이동"
"Common_Place_Item","도구 배치"
"Common_Cook_Item","음식 조리"
"Common_Key_Up_DownTips","키 위아래로 전환"
"Common_Gender","성별"
"Common_Name","이름"
"Common_Orphan","고아"
"Common_The_Late","미지"
"Common_Born","영아기 "
"Common_Preschooler","유아기"
"Common_Schoolchild","아동기 "
"Common_Teen","청소년기 "
