"# 文本key","文本value"
"string","string"
"id","text"
"Localization_Time","2025.4.16"
"Common_Item","Предметы"
"Common_Skill","Навыки"
"Common_NeiGong","Нэйгун"
"Common_Equip","Снаряжение"
"Common_Back","Назад"
"Common_Return","Вернуться"
"Common_SkillLevelUp","Повышение уровня навыка"
"Common_Unequip","Снять"
"Common_Confirm","Подтвердить"
"Common_Extra","Дополнительно"
"Common_Value","Цена"
"Common_Extra_Desc","「Неуязвимый」"
"Common_Continue","Продолжить"
"Common_Add","Добавить"
"Common_Close","Закрыть"
"Common_Delete","Удалить"
"Common_Delete_All","Удалить всё"
"Common_Stop_Talk","Завершить диалог"
"Common_CraftItem","Создать предмет"
"Common_Crafting","Создание..."
"Common_Reduce","Уменьшить"
"Common_Cancel","Отмена"
"Common_Finish","Закончить"
"Common_Send","Подарок"
"Common_Use","Применить"
"Common_Place","Разместить"
"Common_Feed","Кормить"
"Common_Cultivate","Культивировать"
"Common_Player_Name","Я"
"Common_Player_Mine","Мой"
"Common_You","Ты"
"Common_Your_Sect","Твоя школа"
"common_mine_teacher","Мой учитель"
"Common_Empty","Пусто"
"Common_Price","「Цена」"
"Common_Price_1","Цена"
"Common_But","Но"
"Common_Or","или"
"Common_He","Он"
"Common_She","Она"
"Common_It","Это"
"Common_Life_Title","Здоровье"
"Common_Time_Hour","Время"
"Common_Time_Day","День"
"Common_Time_Per_Day","Каждые {0} дней"
"Common_Time_NoLimit","Не ограничено"
"Common_Select_Item","Кол-во перемещаемых предметов: {0}"
"Common_has_learn","「Изучено」\\n<TDName>「Нажмите</> <TDNum>「1=11」</> <TDName>「для открытия окна способностей</>"
"Common_has_learn_gamepad","「Приобретено」\\n<TDName>「Открыть окно способностей</>"
"Common_has_learn_for_item","「Приобретенный」"
"Common_has_learn_for_item_1","「{0}」 научился"
"Common_Click","Клик"
"Common_LightRain","Мелкий дождь"
"Common_Rain","Дождь"
"Common_RainStorm","Ливень"
"Common_LightSnow","Мелкий снег"
"Common_Snow","Снегопад"
"Common_Blizzard","Метель"
"Common_ClearSkies","Чистое небо"
"Common_Cloudy","Облачно"
"Common_Overcast","Пасмурно"
"Common_Foggy","Сильный туман"
"Common_SandStorm","Песчаная буря"
"Common_PoisonFog","Ядовитый туман"
"Common_CreatPlayer","Создать персонажа"
"Common_Feeling","Дух"
"Common_Max_Feeling","Макс. дух"
"Common_Merit","Заслуги"
"Common_Any_Sift","Любой ресурс"
"Common_Exit_Combat","Поражение"
"Common_Argument","словесная дуэль"
"Common_Exit_Mini_Game","Сдаться"
"Common_Abandon","Abandon"
"Common_Use_Item","Используйте предмет"
"Common_Move_Item","Перемещение предмета"
"Common_Place_Item","Разместить предмет"
"Common_Cook_Item","Готовить еду"
